down 2,fly down 2 spaces
forward 1,move one space forward
down 2,fly down 2 squares
left 3,move left 3 spaces
forward 4,move forward 4 times
forward 2,fly 2 spaces forward
right 4,move 4 cells to the right
left 6,move left 6 cells
down 3,descend 3 cells vertically
right 1,fly 1 space to the right
take_photo 0,take a photo
back 5,fly 5 spaces back
right 3,move to the right 3 cells
right 1,fly right for 1 space
left 5,fly left for 5 units
down 1,move down 1 block
back 1,go south one block
forward 5,move north 5 spaces
back 2,move back exactly 2 grid spaces
down 1,drop down 1 block
left 4,fly 4 spaces to the left
back 5,fly south 5 cells
left 6,fly leftward 6 spaces
left 5,fly 5 spaces to the left
take_photo 0,take photo
back 3,move back 3 spaces
down 3,descend 3 spaces
back 1,move one space back away from the wall
up 2,fly upward 2 levels
right 2,move right 2 spaces
left 5,fly five units to the left
left 2,fly to the left 2 spots
right 3,move right for 3 spaces
up 1,fly up 1 space
back 3,move backwards 3 cells
left 4,move 4 spaces to the left
right 2,go 2 blocks east
right 1,move east 1 spot
forward 5,fly 5 spaces forward
left 2,move to the left 2 spaces
back 4,go 4 spaces back
left 5,move 5 cells to the left
left 3,move west 3 spaces
forward 1,fly north 1 square
right 1,move east 1 cell
right 2,go east two spaces
back 3,fly to the south 3 spaces
up 2,fly 2 levels vertically up
forward 2,move forward for 2 steps
down 2,fly downwards for 2 grid units
up 3,fly upwards for 3 grid units
right 2,move right 2
down 1,go down 1 block
up 3,fly up 3 cells
right 4,move right 4 spaces
down 3,descend vertically down 3 squares
up 2,fly upwards 2 cells
forward 4,go forward 4 units
right 1,fly one block east
up 3,fly 3 units upward vertically
right 5,move 5 cells right
up 3,fly up three squares
back 2,move two spaces backward
forward 6,go north 6 spaces
right 1,fly east 1 cell
back 6,move six spaces backwards
left 5,go 5 blocks west
down 2,lower 2 levels
left 3,fly 3 units to the left
up 2,go up 2 cells
left 3,fly 3 cells to the left
right 5,fly east 5 blocks
right 5,fly 5 spaces to the right
back 3,go 3 blocks south
left 4,move left 4 blocks
right 3,fly 3 spaces to the right
forward 6,fly forward 6 spaces
down 2,move down 2 blocks
back 4,fly back 4 times
left 3,move left 3 grid units
back 3,fly back 3 cells
forward 3,go north 3 spaces
down 3,fly down 3 blocks
back 1,move back a space
take_photo 0,take photo
forward 2,fly forward 2 spaces
forward 4,move 4 spaces to the north
down 3,fly down 3 grid units
up 3,fly 3 grid units up
left 5,fly west 5 spots
left 2,move left 2 cells
up 1,ascend 1 level
right 2,fly 2 spaces to the right
forward 1,move forward 1 cell
up 2,move 2 cells up
back 5,fly backward 5 cells
left 5,move west 5 spaces
right 3,move left 3 spaces
take_photo 0,take a photo
back 6,fly back 6 spaces
back 3,move down 3 spaces
left 4,fly left 4 spaces
left 5,fly to the left 5 spaces
left 3,fly 3 units to the left
left 2,move left 2 cells
forward 4,move 4 spaces forward
down 3,fly 3 spaces towards the ground
left 2,go 2 blocks west
right 3,move 3 spaces to the right
forward 6,fly forward 6 spaces
down 1,fly down for 1 grid unit
left 6,fly west 6 spaces
up 2,fly up 2 spaces
right 1,go east one space
left 5,move west 5 squares
back 6,go south 6 spaces
right 2,fly 2 blocks right
forward 6,go 6 blocks north
forward 5,move forward for 5 spaces
right 3,move 3 spaces right
left 5,move over 5 spaces
back 6,move 6 squares south
back 2,move back 2 spaces
right 2,move 2 spaces to the right
forward 6,fly north 6 cells
right 6,fly 6 spaces right
up 2,fly vertically for 2 cells
back 2,move backwards 2 cells
right 6,fly to the right exactly six blocks
left 5,fly five spaces to the left
left 4,move left 4 spaces
right 5,move 5 spaces to the right
left 4,go 4 blocks north
up 2,go up two blocks
right 5,move right 5 blocks
forward 4,fly forward 4 cells
forward 1,go north one block
down 2,fly down 2 blocks
right 4,fly right for 4 spaces
left 3,move to the left for 3 steps
take_photo 0,take a picture of where you are currently at
up 3,ascent 3 blocks
forward 4,move forward 4 cells
up 2,fly up 2 boxes
forward 5,fly forward 5 spaces
forward 5,move north 5 spaces
right 1,go 1 space right
back 5,move backwards 5 steps
right 1,go east 1 space
back 6,come 6 spaces backward
left 1,move 1 block west
forward 4,fly north 4 spaces
back 5,move backward 5 spaces
right 3,move 3 spaces to the right
back 4,go back 4 times
left 4,fly 4 spaces to the left
left 1,move left 1 cell
forward 1,move one grid space north
back 4,go four blocks south
forward 3,go north 3 spaces
forward 4,move forward 4 blocks
back 5,move 5 blocks south
back 5,move back 5 spaces
right 2,fly east 2 cells
back 3,move 3 spaces behind
left 2,fly west 2 spaces
forward 1,move 1 space north
forward 2,move north 2 spaces
right 2,move right for 2 steps
back 4,fly back 4 spaces
down 3,go down 3 blocks
forward 2,move forward 2 spaces
back 2,go south 2 spaces
back 3,move 3 cells back
left 6,fly 6 spaces to the left
right 4,move 4 squares to the right
forward 5,go forward 5 spaces
down 2,descend 2 blocks
forward 1,go north 1 space
right 1,move 1 space to the right
back 6,fly 6 spaces south into the room
right 5,move right 5 spaces
down 3,lower height 3 spaces
back 2,move backward 2 blocks
forward 6,move ahead 6 grid spaces
forward 2,fly 2 blocks forward
left 6,"move six squares to the left , then stop"
right 5,move 5 spaces right
forward 3,move forward for 3 steps
left 2,move 2 spaces to the left
left 4,fly 4 spaces left
forward 2,fly forward 2 blocks
forward 2,move north 2 spaces
left 2,go 2 blocks west
back 6,fly back towards me for 6 cells
right 5,move 4 spaces to the right and stop at the entryway
left 3,fly 3 squares to the left 
right 3,move to the right for 3 steps
forward 3,fly forward 3 spaces
up 1,elevate 1 square
right 4,move right 4 cells
up 1,fly to vertical 1
up 2,ascend 2 cells vertically
down 3,drop down 3 spaces
back 3,fly 3 units south
back 6,move backwards for 6 spaces
back 2,move backward twice
down 3,lower 3 blocks
down 3,descend 3 blocks
down 3,move 3 units down toward floor
down 3,move down 3 levels
back 6,move backwards 6 spaces
right 4,fly to the right 4 spaces
left 4,move 4 spaces left
left 1,move 1 space to the left
forward 5,fly north 5 blocks
forward 3,fly 3 spaces forward
down 1,fly down vertically 1 space
right 3,move right 3 spaces
left 6,fly 6 spaces to the left
forward 6,fly forward 6 cells
forward 6,fly forward 6 spaces
down 1,decrease altitude by 1 square
up 3,move 4 spaces up
forward 2,fly forward 2 spaces
forward 1,go 1 block north
down 2,go down for 2 spaces
down 2,fly down 2 cells
forward 4,move to the green room
take_photo 0,take a photo
down 1,fly down 1 cell
forward 3,move 3 spaces forward
forward 6,fly north 6 blocks
right 5,go east 5 spaces
up 3,move up 3 cells
left 3,fly west 2 cells
left 3,go 3 spaces left
left 2,move two grid places left
forward 4,go forward 4 spaces
right 2,move right 2 spaces
back 1,move 1 space backwards
forward 5,move forward until you reach the wall
up 3,rise 3 levels
up 2,raise in elevation 2 spaces
down 1,fly 1 level down vertically
down 1,move downward 1 cell
back 6,fly 6 blocks south
right 4,go east 4 spaces
forward 6,fly forward 6 spaces
left 4,move left 4 spaces
left 5,move 5 blocks to your left
left 2,go west two units
right 2,move 2 blocks east
back 4,move 4 spaces backward
down 3,fly down 3 spaces
right 3,fly 3 cells to the right
right 5,fly right 5 cells
left 2,move left 2 spaces
right 6,fly 6 spaces to the right
up 2,ascend 2 steps
up 1,increase altitude by 1 space
forward 3,go north 3 spaces
right 6,go east 6 spaces
down 2,fly vertically downwards 2 spaces
down 2,fly down for 2 blocks
left 1,go west one space
up 2,rise 2 cells
left 6,head sideways to the left for 6 cells
left 5,fly left 5 spaces
left 5,move to the left for 5 spaces
left 3,fly left 3 spaces
left 2,move 2 blocks west
up 2,fly two blocks higher
forward 2,fly north 2 cells
back 2,fly 2 spaces to the back
down 2,fly down 2 spaces
up 1,move upward 1 cell
take_photo 0,take a photograph in your current position
left 5,move 5 cells to the left
down 3,move down 3 levels to ground level 0
right 4,move 4 spaces to the right
left 5,fly 5 spaces left
down 2,descend vertically down 2 cells
left 6,go west 6 spaces
back 1,fly backwards 1 block
right 4,fly to the right 4 spaces
forward 5,move 5 spaces forward
back 1,fly 1 space back
forward 3,move forward 3 cells
back 4,fly backward 4 spaces
left 5,go left 5 spaces
up 3,move up 3 spaces
right 5,fly directly to the right for 5 spaces
left 1,move left for 1 space
forward 4,move forward 4 cells
forward 1,move 1 space north
back 4,move 4 spaces south
take_photo 0,take a photo
back 5,fly to the south 5 spaces
up 2,fly up 2 spaces
forward 6,fly north for 6 blocks
right 3,move to the right for 3 steps
left 4,go west 4 spaces
back 5,move backwards 5 cells
back 2,move back 2 cells
forward 2,fly forwards 2 cells
forward 2,move 2 spaces forward
back 1,move back for 1 step
up 3,go up 3 spaces
left 1,move left once
forward 2,move forward 2 cells
left 4,travel 4 squares left
back 5,move backwards for 5 spaces
back 4,fly 4 spaces south
up 2,go up 2 blocks
right 5,go east 5 spaces
left 1,fly a unit to the left
up 1,go up 1 space
right 2,move right 2 spaces
down 2,descend 2 units
back 5,move south 5 cells
right 5,move 5 spaces to the right
back 1,fly south 1 square
down 3,move down for three spaces
right 3,move 3 spaces to the right
back 1,fly 1 space backward
back 1,move backwards for 1 step
up 1,fly up one space
left 2,fly 2 spaces to the left
back 3,fly south 3 spaces
up 1,fly up 1 cell
down 3,lower until right off the ground
take_photo 0,take a picture
take_photo 0,take a picture
left 2,fly 2 cells west
back 4,go south 4 spaces
back 3,move backwards 3 spaces
right 4,move right 4 spaces
down 1,descend now
up 3,rise 3 levels
down 1,hover down
back 3,move backwards for 3 steps
down 2,fly downwards 2 times
forward 5,move forward for 5 spaces
up 1,ascend 1 block
forward 1,fly north 1 spot
up 2,go up 2 cells
back 4,fly backwards for 4 spaces
left 5,go 5 blocks west
back 1,go 1 block south
right 2,fly 2 units to the right
down 2,move towards the bottom 2 grid units
forward 6,move forward six spaces
forward 2,move forward two steps
forward 2,go forward 2 spaces
back 5,fly 5 spaces foward
right 2,fly 2 spaces to the right
back 3,fly back 3
left 4,go west 4 spaces
right 4,fly right 4 spaces
right 1,fly 1 space to the right
right 3,go 3 blocks east
take_photo 0,take a photo
back 4,go south 4 spaces
left 4,move 4 spaces to the left
right 3,fly east 3 squares
forward 2,go 2 blocks forward
right 2,fly 2 blocks to the right
forward 2,go 2 spaces backwards
left 6,fly west 6 cells
forward 4,move forward 4 spaces
right 3,go 3 blocks to the right
back 5,go back 5 cells
down 1,descend down
back 1,move backward 1 space
up 3,go up 3 blocks
up 2,move up 2 spaces
back 4,move south 4 spaces
back 2,go south 2 spaces
right 1,move right one space
forward 3,go forward 3 spaces
back 3,go south 3 grid squares
right 5,go 5 blocks east
forward 4,move forward 4 cells
forward 2,move forward 2 spaces
up 3,go up 3
forward 4,fly north 4 blocks
back 6,go 6 blocks south
left 1,move left 1 block
back 4,fly back 4 spaces
down 1,fly 1 cell down
back 1,move backwards for 1 block
take_photo 0,take photo
right 1,go 1 space to the left
left 6,go 6 blocks west
back 3,fly three spaces backward
back 3,move 3 units to the south
right 4,fly 4 spaces to the right
down 2,go down 2 steps towards the floor
back 6,come backward 6 cells
left 4,move 4 spaces to the left
forward 6,move forward for 6 spaces
left 4,go left 4 cells
left 6,go left 6 cells
back 2,fly backwards 2 cells
back 2,move 2 spaces backward
forward 4,go north 4 blocks
forward 2,move forwards for 2 spaces
left 2,move 2 cells left
forward 2,go 2 blocks north
up 1,fly up 1 space
back 4,move backward 4 blocks
back 3,go 3 blocks backward
left 2,move 2 cells to the left
left 6,move 6 spaces to the left
right 2,fly right 2 blocks
down 1,fly down 1
left 1,fly west 1 square
forward 2,move forward 2 spaces
down 1,move 1 square down
forward 1,fly forward 1 space
forward 3,fly forward 3 grid spaces
back 4,fly back 4 spaces
take_photo 0,take a picture
down 1,go down 1 space
back 5,move 5 spaces backwards
back 6,fly back 6 spaces
back 3,fly south 3 cells
right 1,go right once
right 5,move right 5 spaces
up 2,fly up 2 spaces
up 3,fly up for 3 cells
right 5,move right 5 spaces
up 2,fly up 2 spaces
down 2,descend 2 steps
left 4,fly left 4 grid units
down 2,go down 2 spaces
left 3,fly left 3 spaces
back 2,fly two squares backward
forward 3,move 3 cells forward
right 1,move 1 space to the right
up 3,move up vertically 3 units
take_photo 0,take a picture
forward 4,move forward 4 cells
left 5,go 5 spaces to the left
back 4,travel backward 4 cells
left 4,move left for 4 steps
left 3,move 3 spaces to the left
back 4,fly 4 spaces south
forward 2,go north 2 spaces
back 3,fly 3 units to the south
right 4,go over to the right of the room for 4 steps
back 1,move backwards 1 cell
back 4,move backwards 4 spaces
left 4,move left 4 cells
take_photo 0,take a photo
back 3,move backward 3 cells
up 3,fly upwards 3 cells
right 3,go 3 cells to the right
back 6,fly 6 spaces south
left 5,go 5 squares to the left
left 4,fly 4 blocks to the left
down 3,descend 3 times towards to the ground
left 4,fly 4 cells to the left
forward 1,fly forward 1 space
up 3,ascend 3 blocks
back 1,move backward 1 block
right 1,fly right 1 space
forward 3,fly north 3 spaces
left 1,move to the left 1
down 3,fly downwards 3 spaces
back 4,move 4 block back
left 3,fly left for 3 grids units until the wall
forward 1,fly one space to the front
right 2,fly right twice
left 1,move one space to the left
down 2,move down 2 spaces
down 3,move down for 3 steps
down 3,fly downwards 3 cells
back 6,fly 6 squares south
back 5,fly  5 squares south
right 5,fly 5 cells to the right
left 4,fly 4 spaces to the left
up 1,rise up 1 square
left 3,move left 3 cells
down 3,down 3 spaces
right 1,move right one step
forward 5,fly forward 5 blocks
back 3,fly south 3 cells
down 3,fly down 3 cells
down 3,go down 3 blocks
down 2,fly straight down for 2 spaces
right 6,move to the right 6 steps
down 2,descend 2 cells vertically
back 1,go back 1 cell
back 1,move 1 space to the south
back 4,move 4 squares backward
back 1,move back 1 cell
back 5,move backwards for 5 spaces
down 3,descend to 3 grid units
left 2,move west 2 spots
down 1,move down one cell
right 4,move 4 spaces to the right
back 6,fly 6 blocks south
forward 6,move forward 6 spaces
up 3,go up 3 blocks
back 6,move backward 6 cells
back 3,fly south 3 spaces
back 3,fly 3 spaces backward
right 3,go 3 blocks east
up 2,move up 2 levels
right 5,fly 5 spaces to the right
forward 1,fly forward 1 space
left 5,go 5 blocks west
forward 1,go straight ahead
back 5,fly backward 5 spaces
right 6,fly 6 spaces right
left 2,move left 2 spaces
back 2,fly south 2 squares
down 1,fly down one unit
forward 4,fly forward 4 spaces
right 3,go east 3 spaces
left 4,fly 4 cells to the left
right 2,move 2 steps to the right
right 1,move 1 space to the east
left 2,fly left two cells
right 2,move right 2 blocks
down 2,go down 2 blocks
down 2,move down 2 times
back 2,fly back 2 spaces
back 6,move 6 spaces backward
right 5,go 5 blocks east
up 3,raise in elevation 3 spaces
left 4,go to the left for 4 cells
left 6,go 6 spaces to the left
down 3,move down 3 spaces
right 3,move east 3 spaces
forward 3,go 3 blocks north
forward 5,move forward for 5 spaces
down 2,move down 2 squares
right 2,fly two spaces over to the right
back 6,move backwards for 6 spaces
forward 2,go 2 blocks north
forward 5,move forward 5 spaces
left 5,go west 5 spaces
forward 5,move forward 5 spaces in the room
down 2,fly down 2 blocks
right 1,move right 1 cell
right 2,move right 2 spaces
back 6,move backwards 6 cells
forward 3,move forward 3 blocks
forward 5,fly forward 5 cells
back 5,fly backwards 5 spaces
right 6,go 6 cells to the right
right 5,move 5 spaces right
down 1,fly one space below
left 2,move left 2 spaces
back 6,fly 6 spaces south
forward 2,head forward 2 squares
forward 1,go 1 space forward
right 4,move 4 spaces right
left 3,fly west 3 spots
left 6,fly 6 spaces to the left
take_photo 0,take picture of blue box
back 1,move 1 square down
forward 1,move north 1 step
down 1,descend
left 1,fly 1 space to the left
right 5,go 5 squares to the east
up 1,move upward 1 cell
back 3,go back 3 cells
back 6,move backwards for 6 spaces
forward 6,travel 6 cells north
right 4,fly 4 blocks to the east
down 3,fly 3 spaces down
forward 4,fly forward for 4 spaces
back 3,go 3 blocks south
right 6,fly east 6 spaces
forward 3,fly forward 3 spaces
right 5,fly right 5 spaces
right 3,move 3 spaces to the right
back 2,move foward 2 blocks
up 1,fly up 1 space
left 4,fly left 4 cells
up 1,fly up 1 block
forward 6,move forward 7 steps
left 4,move left 4 spaces
back 5,move back 5 times
forward 6,fly 6 spaces forward
left 5,go left 5 spaces
left 4,move 4 cells to the left
forward 4,move 4 spaces forward
left 6,move 6 cells to the left
forward 6,move forward for 6 steps
left 6,move left 6 spaces
right 4,move right 4 spaces
back 2,fly back 2 steps
left 5,fly to the left for 5 cells
right 3,fly right twice
right 1,move one grid space to the right
right 2,fly 2 spaces to the right
right 5,move to the right 5 spaces
left 6,move left 6 cells
forward 2,move forward 2 cells
down 2,descend 2 grid units
back 2,move back 2 spaces
forward 6,move forward 6 spaces
down 3,drop 3 blocks
back 6,fly six spaces back
back 1,fly 1 unit to the south
left 2,move left 2 cells
down 2,move down for 2 units
left 4,move 4 blocks left
up 1,move up 1 step
right 6,move to the right for 6 steps
right 2,fly right 2 spaces
right 1,go 1 block east
right 3,fly to the right for 3 cells
left 1,move left 1 cell
forward 2,go 2 blocks north
down 2,fly down 2 units
forward 4,fly forward 4 spaces
left 3,fly 3 cells left
left 4,move 4 spaces to the left
up 1,move up a level
right 1,move right 1 block
right 4,fly 4 blocks to the right
right 6,move 6 spaces to the right
back 4,fly 4 spaces south
down 1,reduce altitude by 1 space
up 3,move upward 3 spaces
back 6,move back 6 spaces
forward 1,fly forward 1 cell
forward 4,fly 4 spaces north
take_photo 0,take a photo
forward 3,fly 3 cells forward
right 5,move to the right for 5 steps
forward 4,fly forward 4 spaces
forward 6,move forward 6 spaces
forward 2,go forward 2 grid spaces
up 2,move up 2 blocks
back 3,fly 3 spaces backward
back 1,fly backwards 1 space
right 4,go 4 blocks east
forward 2,go forward twice
left 5,move 5 steps to the left
right 4,fly 4 spaces to the right
up 3,fly up 3 spaces
up 3,rise 3 cells upward
forward 5,move forward 5 cells
left 6,fly left 6 spaces
take_photo 0,take a picture below you
back 3,fly south 3 spaces
forward 1,go 1 block north
forward 3,fly 3 spaces forward
right 2,fly right 2 cells
down 1,descend 1 space
forward 2,go 2 blocks north
left 5,move west 5 spaces
left 1,move to the left 1 space
forward 4,move 4 spaces north
forward 6,fly 6 blocks forward
left 2,move 2 cells left
left 3,move left 3 cells
back 6,go back 6 cells
left 6,go left 6 squares
left 3,go left 3 spaces
back 6,fly in reverse 6 spaces
right 6,fly 6 spaces to the right
up 1,fly up one space
left 5,move up 5 spaces
forward 5,fly forward 5 grid units
left 5,move left 5 spaces
forward 3,fly north 3 cells
up 1,ascend vertically up 1 cell
forward 4,move 4 spaces forward
down 3,fly to the bottom for 3 units
forward 2,go 2 blocks north
back 5,fly south 5 cells
up 2,ascend vertically up 2 squares
up 2,fly up 2 cells
right 2,move right two space
left 3,go 3 spaces to the left
left 3,move left 3 spaces
right 5,fly east for 5 cells
right 6,fly 6 spaces to the right
forward 1,fly one block to the north
right 3,move right 3 cells
take_photo 0,take a photo of where you are
back 2,fly backwards 2 spaces
forward 5,move forward 5 steps
back 2,fly 2 cells back
left 4,fly 4 spaces to the left
back 2,fly back 2 squares
left 3,fly 3 spaces to the left
left 3,fly 3 spaces to the left
left 6,move left 6 spaces
forward 6,fly straight ahead for 6 cells
back 4,back up 4 spaces
back 2,go backward 2 spaces
up 3,elevate to the third level
forward 5,move 5 spaces north
take_photo 0,take 1 photo
take_photo 0,take a picture
left 4,fly west 4 spots
back 1,go 1 space south
left 5,fly 5 blocks west
forward 6,fly forward 6 cells
back 6,fly back 6 spaces
right 3,move to your left 3 blocks
back 6,fly backward 6 cells
right 5,fly 5 spaces to the right
forward 1,move forward for 1 space
back 2,move 2 spaces backwards
down 3,fly down 3 spaces
down 1,fly down 1 square
back 2,fly backward 2 spaces
up 1,fly 1 level up vertically
down 3,decrease altitude by 3 spaces
up 3,fly 3 vertical spaces into the air
back 1,go south 1 space
down 2,descend 2 cubes down
right 1,strafe sideways to the right 1 cell
down 3,go down 3 blocks
left 6,move 6 spaces to the left
up 2,fly upwards for 2 grid units
right 2,fly 2 spaces east
up 1,ascend 1 space
left 3,move left for 3 spaces
right 5,move 5 blocks to the right
forward 1,move forward 1 space
back 1,fly south 1 cell
back 2,move 2 units south
down 1,lower 1 square
back 1,move back 1 step
right 2,move 2 cells right
up 3,fly up vertically 3 spaces
back 5,fly to the south 5 spaces
forward 1,move 1 space forward
up 3,move upwards 3 spaces
take_photo 0,take a photo
left 1,immediately go west 1 space
left 2,move to the left for 2 steps
take_photo 0,snap a picture
up 1,move up 1 space
down 2,lower in elevation 2 cells
right 1,fly one blue space to the right
right 4,move right 4 blocks
left 1,move 1 cell to the left
forward 3,fly forward 3 spaces
right 2,fly east 2 spaces
left 3,move left 3 blocks
back 1,move backward 1 space
